line,sn
epump3,16CGC063
epump3,14GOU016
epump3,14COH233
epump3,16LGX190
epump3,14JNV503
epump3,14COH267
epump3,16JGW043
epump3,16JGV256
epump3,14AOJ081
epump3,14BNT240
epump3,16JGV497
epump3,14COH268
epump3,16LGX236
epump3,14BOH257
epump3,16NHB304
epump3,16CGC097
epump3,16AGK463
epump3,16NHC167
epump3,16CGC052
epump3,16LGX058
epump3,14COH155
epump3,16LGF001
epump3,16JGW005
epump3,16LGW134
epump3,14COH069
epump3,14OKU357
epump3,14HOH087
epump3,16BGJ256
epump3,14NLQ064
epump3,16DGC441
epump3,16BGJ420
epump3,14COH301
epump3,16FGP420
epump3,16BGJ195
epump3,14JNV180
epump3,14BQE040
epump3,14BNT394
epump3,16JGI093
epump3,14EMH031
epump2,LE6N0089
epump3,14BOH194
epump3,16DGP172
epump2,NB6M0417
epump3,16JGB207
epump3,14BNB180
epump3,16DGB247
epump3,16JGV225
epump3,16CGB144
epump3,16JGV473
epump3,14JNV037
epump3,14NLQ147
epump3,14HNB042
epump3,14EKD334
epump3,16DGO305
epump3,16FGP381
epump3,16FGK260
epump3,14GLS280
epump3,16JGA323
epump2,AI6A0275
epump3,14HOJ020
epump2,KN4A0236
epump3,16LGW045
epump3,16JGJ063
epump3,16JGI355
epump3,14HOJ449
epump3,16FGL258
epump3,16FGP101
epump3,16DGN136
epump3,16JGB259
epump3,16LGW051
epump3,16LGW129
epump3,16LGW026
epump3,16DGC165
epump2,GO4C0352
epump3,14OKT134
epump3,14FMW251
epump3,16FGP178
epump3,16DGO083
epump3,14AOI233
epump3,16LGX026
epump2,NN4X0276
epump2,BH6P0490
epump2,AC6T0030
epump3,14HOH234
epump3,14JNV403
epump3,16IGJ133
epump3,16LGE230
epump3,14COH019
epump3,16JGV344
epump2,II6X0056
epump3,14BNA073
epump3,16DGO275
epump3,16LGE203
epump3,16JGV077
epump3,14COG312
epump3,14EKF072
epump3,16DGN115
epump3,14COH193
epump3,16AGK359
epump4,55AUN0523
epump3,14NLQ091
epump3,16JGI113
epump3,14HOK324
epump3,14BOH046
epump3,14FMU417
epump3,16JGI018
epump3,16LGW040
epump3,14JNV355
epump3,16AGV160
epump3,16JGV381
epump3,14OKT093
epump3,16JGV306
epump3,16DGD241
